Family	Ingroup0	Ingroup1	Outgroup
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Chlorocebus_tantalus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Cercocebus_chrysogaster
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Cercocebus_torquatus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Macaca_silenus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Trachypithecus_pileatus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Macaca_nemestrina
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Nasalis_larvatus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Theropithecus_gelada
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Chlorocebus_pygerythrus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Mandrillus_sphinx
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Chlorocebus_cynosuros
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Colobus_guereza
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Pygathrix_nemaeus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Simias_concolor
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Pygathrix_nigripes
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Macaca_mulatta
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Lophocebus_aterrimus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Rhinopithecus_avunculus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Trachypithecus_vetulus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Macaca_fascicularis
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Semnopithecus_entellus
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Cercocebus_atys
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Trachypithecus_johnii
Cercopithecidae	Papio_papio	Trachypithecus_cristatus	Mandrillus_leucophaeus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Cercocebus_torquatus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Trachypithecus_pileatus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Macaca_nemestrina
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Nasalis_larvatus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Theropithecus_gelada
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Chlorocebus_pygerythrus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Erythrocebus_patas
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Mandrillus_sphinx
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Chlorocebus_cynosuros
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Colobus_guereza
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Simias_concolor
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Pygathrix_nigripes
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Lophocebus_aterrimus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Rhinopithecus_avunculus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Trachypithecus_vetulus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Macaca_fascicularis
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Semnopithecus_entellus
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Cercocebus_atys
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Trachypithecus_johnii
Cercopithecidae	Papio_papio	Chlorocebus_tantalus	Mandrillus_leucophaeus
Cercopithecidae	Papio_papio	Macaca_thibetana	Chlorocebus_tantalus
Cercopithecidae	Papio_papio	Macaca_thibetana	Cercocebus_chrysogaster
Cercopithecidae	Papio_papio	Macaca_thibetana	Cercocebus_torquatus
Cercopithecidae	Papio_papio	Macaca_thibetana	Macaca_silenus
Cercopithecidae	Papio_papio	Macaca_thibetana	Trachypithecus_pileatus
Cercopithecidae	Papio_papio	Macaca_thibetana	Macaca_nemestrina
Cercopithecidae	Papio_papio	Macaca_thibetana	Nasalis_larvatus
Cercopithecidae	Papio_papio	Macaca_thibetana	Theropithecus_gelada
Cercopithecidae	Papio_papio	Macaca_thibetana	Chlorocebus_pygerythrus
Cercopithecidae	Papio_papio	Macaca_thibetana	Mandrillus_sphinx
Cercopithecidae	Papio_papio	Macaca_thibetana	Chlorocebus_cynosuros
Cercopithecidae	Papio_papio	Macaca_thibetana	Colobus_guereza
