Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Abrothrix longipilis	48.6642156862745	0.171428571428571	0.0693818874865854	589.388299099621	Cricetidae	0.146341463414634	0.853658536585366	CytB	15	95	Rodentia	750	RODENTIA	CRICETIDAE	LC	0	0
Abrothrix olivaceus	23	0.0909090909090909	0.192105340726185	589.388299099621	Cricetidae	0.0833333333333333	0.916666666666667	CytB	1	10	Rodentia	22	RODENTIA	CRICETIDAE	LC	0	0
Acomys cahirinus	60.8125	0.160645161290323	0.0332329938484076	650.0125	Muridae	0.155	0.845	CytB	11	75	Rodentia	377	RODENTIA	MURIDAE	LC	0	0
Acomys dimidiatus	30.5	0.0833333333333333	0.0286098815754307	650.0125	Muridae	0.0769230769230769	0.923076923076923	CytB	1	16	Rodentia	21	RODENTIA	MURIDAE	LC	0	0
Ailuropoda melanoleuca	21	0.333333333333333	0.0502840279462792	5246.699416657	Ursidae	0.25	0.75	CytB	2	4	Carnivora	42	CARNIVORA	URSIDAE	VU	1	0
Akodon montensis	35.3333333333333	0.214285714285714	0.0549190402488672	589.388299099621	Cricetidae	0.176470588235294	0.823529411764706	CytB	3	15	Rodentia	79	RODENTIA	CRICETIDAE	LC	0	0
Akodon spegazzinii	21.6666666666667	0.142857142857143	0.0402275701325086	589.388299099621	Cricetidae	0.125	0.875	CytB	3	14	Rodentia	64	RODENTIA	CRICETIDAE	LC	0	0
Alouatta belzebul	81	0.0909090909090909	0.108094755624967	4380	Atelidae	0.0833333333333333	0.916666666666667	CytB	1	8	Primates	22	PRIMATES	ATELIDAE	VU	1	0
Alouatta caraya	41.6666666666667	0.25	0.115724528727984	3750.594	Atelidae	0.225	0.775	CytB	1	4.5	Primates	33	PRIMATES	ATELIDAE	LC	0	0
Alouatta guariba	52.75	0.422222222222222	0.135003548883854	3888.34118571429	Atelidae	0.307692307692308	0.692307692307692	CytB	3	9	Primates	160	PRIMATES	ATELIDAE	LC	0	0
Anourosorex squamipes	41	0.0740740740740741	0.0450088442292267	379.29295625	Soricidae	0.0689655172413793	0.931034482758621	CytB	2	26	Eulipotyphla	102	EULIPOTYPHLA	SORICIDAE	LC	0	0
Apodemus agrarius	43.6571428571429	0.241379310344828	0.0460416155585987	504.40745	Muridae	0.194444444444444	0.805555555555556	CytB	4	19	Rodentia	160	RODENTIA	MURIDAE	LC	0	0
Apodemus argenteus	21	0.0303030303030303	0.0168729612709769	572.56	Muridae	0.0294117647058824	0.970588235294118	CytB	1	18	Rodentia	21	RODENTIA	MURIDAE	LC	0	0
Apodemus chevrieri	34	0.122448979591837	0.0834141093340263	554.1929125	Muridae	0.109090909090909	0.890909090909091	CytB	5	44	Rodentia	144	RODENTIA	MURIDAE	LC	0	0
Apodemus draco	51	0.109126984126984	0.0312699614491071	554.1929125	Muridae	0.0983870967741935	0.901612903225806	CytB	2	25	Rodentia	132	RODENTIA	MURIDAE	LC	0	0
Apodemus flavicollis	35.5	0.2	0.0775879442632845	513.1567	Muridae	0.166666666666667	0.833333333333333	CytB	2	9	Rodentia	71	RODENTIA	MURIDAE	LC	0	0
Apodemus latronum	36.8571428571429	0.115384615384615	0.162399487812307	554.1929125	Muridae	0.103448275862069	0.896551724137931	CytB	2	22	Rodentia	109	RODENTIA	MURIDAE	LC	0	0
Apodemus peninsulae	81	0.2	0.0341858537594694	554.1929125	Muridae	0.166666666666667	0.833333333333333	CytB	2	7	Rodentia	155	RODENTIA	MURIDAE	LC	0	0
