Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d
Abrothrix longipilis	0.962044740379417	14.8185977501455	0.171428571428571	95	15	0.853658536585366	0.146341463414634	589.388299099621
Abrothrix olivaceus	0.452535431785834	0.430256900002777	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	589.388299099621
Acomys cahirinus	1.20029645058398	7.46746005590439	0.160645161290323	75	11	0.845	0.155	650.0125
Acomys dimidiatus	0.601881752035456	0.42430060098944	0.0833333333333333	16	1	0.923076923076923	0.0769230769230769	650.0125
Ailuropoda melanoleuca	0.42430060098944	0.84860120197888	0.333333333333333	4	2	0.75	0.25	5246.699416657
Akodon montensis	0.702077252154567	1.56822599191317	0.214285714285714	15	3	0.823529411764706	0.176470588235294	589.388299099621
Akodon spegazzinii	0.428271466998331	1.27885810198166	0.142857142857143	14	3	0.875	0.125	589.388299099621
Alouatta belzebul	1.59769124050925	0.430256900002777	0.0909090909090909	8	1	0.916666666666667	0.0833333333333333	4380
Alouatta caraya	0.820704749851981	0.645385350004166	0.25	4.5	1	0.775	0.225	3750.594
Alouatta guariba	1.04552682478131	3.15248743875795	0.422222222222222	9	3	0.692307692307692	0.307692307692308	3888.34118571429
Alouatta seniculus	1.39568432843731	3.1953824810185	0.666666666666667	2	2	0.6	0.4	3833.157
Amblysomus hottentotus	0.798737087755175	4.01042823515106	0.126136363636364	45	5	0.887096774193548	0.112903225806452	1036.5575833285
Anourosorex squamipes	0.658978728893402	0.84860120197888	0.0555555555555556	25.5	1	0.947368421052632	0.0526315789473684	379.29295625
Aotus nancymaae	NA	0	0	4	0	1	0	3047.8376
Apodemus agrarius	0.927937962103021	0.84860120197888	0.2	4	1	0.833333333333333	0.166666666666667	504.40745
Apodemus argenteus	0.42430060098944	0.42430060098944	0.0303030303030303	18	1	0.970588235294118	0.0294117647058824	572.56
Apodemus chevrieri	0.670134360883714	2.85304039290816	0.122448979591837	44	5	0.890909090909091	0.109090909090909	554.1929125
Apodemus draco	1.01099592074935	2.61651581952572	0.109126984126984	25	2	0.901612903225806	0.0983870967741935	554.1929125
Apodemus flavicollis	0.685788786829193	1.37157757365839	0.2	9	2	0.833333333333333	0.166666666666667	513.1567
Apodemus latronum	0.716128914160146	2.14473490203335	0.115384615384615	22	2	0.896551724137931	0.103448275862069	554.1929125
Apodemus peninsulae	1.59769124050925	3.05202575349554	0.2	7	2	0.833333333333333	0.166666666666667	554.1929125
Apodemus speciosus	0.42430060098944	0.84860120197888	0.142857142857143	11	1	0.875	0.125	554.1929125
Apodemus sylvaticus	0.42430060098944	0.42430060098944	0.0769230769230769	6	1	0.928571428571429	0.0714285714285714	626.6475
Arctocephalus forsteri	1.04141568301283	1.64281380563958	0.166666666666667	12	2	0.857142857142857	0.142857142857143	3285
Artibeus cinereus	0.773590088360364	1.18280378761653	0.25	6	2	0.8	0.2	1920.4777
Artibeus fimbriatus	0.42430060098944	0.281985815246086	0.0344827586206897	17	1	0.966666666666667	0.0333333333333333	1920.4777
Artibeus glaucus	0.544016164822593	2.44629244248813	0.0428571428571429	85	3	0.958904109589041	0.0410958904109589	1920.4777
Artibeus jamaicensis	0.654816919261158	1.27702004682777	0.04	32	1	0.961538461538462	0.0384615384615385	1920.4777
Artibeus lituratus	0.904719224959927	0	0	18	0	1	0	1920.4777
Artibeus obscurus	0.784112995956585	1.33591417043649	0.0512820512820513	26	1	0.951219512195122	0.0487804878048781	1920.4777
Artibeus phaeotis	1.14392539092373	1.14392539092373	0.142857142857143	4	1	0.875	0.125	1920.4777
Artibeus planirostris	1.01099592074935	1.59769124050925	0.0555555555555556	20	1	0.947368421052632	0.0526315789473684	1920.4777
Ateles belzebuth	0.99399936448483	2.26998454421575	0.26969696969697	8.5	3	0.787593984962406	0.212406015037594	5475
Avahi laniger	1.17420515393295	3.52261546179884	0.324324324324324	9.5	3	0.752551020408163	0.247448979591837	3649.771875
Balaena mysticetus	0.430256900002777	0.430256900002777	0.333333333333333	3	1	0.75	0.25	18980
Balaenoptera physalus	1.11629097360943	0.42430060098944	0.117647058823529	4	1	0.878676470588235	0.121323529411765	9490
Bandicota indica	0.677134996531803	0.430256900002777	0.00735294117647059	28	1	0.992700729927007	0.0072992700729927	639.631831820818
Bison bison	1.32053778914659	1.59769124050925	0.5	2	1	0.6	0.4	4288.14166657
Bison bonasus	1.15728149265392	0.84860120197888	0.0666666666666667	14	1	0.936491935483871	0.063508064516129	3595.3298
Blarina brevicauda	0.784112995956585	1.69720240395776	0.142857142857143	16	2	0.875	0.125	307.41875
Blarinella griselda	0.428767825249443	0.42430060098944	0.0172413793103448	54	1	0.983050847457627	0.0169491525423729	426.91011944525
Brachyphylla cavernarum	0.847268990189805	1.27023737939017	1	1	1	0.5	0.5	2064.27635
Cacajao calvus	1.34172741558944	1.44614019029968	0.179487179487179	24	1	0.838709677419355	0.161290322580645	3650
Callosciurus erythraeus	0.924276644425998	7.88464092945054	0.126984126984127	82	9	0.887323943661972	0.112676056338028	1585.1964
Calomys callosus	0.815778037024947	2.20812446336496	0.240384615384615	4	2	0.80625	0.19375	589.388299099621
Calomys expulsus	0.42430060098944	0.430256900002777	0.125	14	1	0.888888888888889	0.111111111111111	589.388299099621
Canis aureus	0.664175530967537	1.27023737939017	0.133333333333333	16	2	0.882352941176471	0.117647058823529	2136.101433343
Canis latrans	1.04748834812239	0	0	3	0	1	0	2569.032222103
Canis lupus	0.42430060098944	0	0	4	0	1	0	2883.256666657
Capra aegagrus	1.14392539092373	2.7121513828369	0.0983870967741935	30	2	0.909090909090909	0.0909090909090909	2097.005
Capra sibirica	0.992909325358692	0.571962695461865	0.00649350649350649	49.5	0.5	0.993589743589744	0.00641025641025641	2875.226666657
Capreolus capreolus	0.990135729248557	1.95438946988567	0.109126984126984	14	2	0.9	0.1	2335.391666657
Capreolus pygargus	1.59769124050925	1.59769124050925	0.105555555555556	9	1	0.9	0.1	3063.8029
Carollia castanea	0.872568618593971	3.32566938100767	0.0833333333333333	69	4	0.923076923076923	0.0769230769230769	1847.5352
Carollia perspicillata	0.662372930258607	1.98711879077582	0.2	18	3	0.833333333333333	0.166666666666667	1847.5352
Carollia sowelli	0.840381319097782	3.45475275180554	0.233333333333333	23	5	0.8	0.2	1847.5352
Cavia aperea	0.902247860236703	2.99333610401223	0.142857142857143	29	4	0.875	0.125	763.4281
Cebus capucinus	0.994202384860809	2.98285856879803	0.175925925925926	23	3	0.84375	0.15625	6794.84
Cervus elaphus	0.708540416268883	2.1933179771373	0.2	16	3	0.833333333333333	0.166666666666667	5209.4516
Chaetodipus intermedius	0.763532653784775	1.99252659290261	0.230769230769231	10	3	0.8125	0.1875	987.63075
Cheirogaleus crossleyi	1.22233144545832	3.81926740357362	0.1	23.5	2	0.909090909090909	0.0909090909090909	2236.94965
Cheirogaleus major	1.16510397950805	1.16136275376563	0.141428571428571	18	2	0.87609649122807	0.12390350877193	1888.9911
Cheirogaleus medius	1.23139361869258	3.10626759189558	0.142857142857143	25	3	0.875	0.125	2584.9082
Chimarrogale himalayica	0.661072311287607	5.13353220732534	0.075	118	7	0.930232558139535	0.0697674418604651	379.29295625
Chionomys roberti	0.667957085218247	1.27885810198166	0.166666666666667	10	2	0.857142857142857	0.142857142857143	589.388299099621
Chlorocebus aethiops	0.837527831659668	4.7836001531061	0.230769230769231	20	6	0.805555555555556	0.194444444444444	4533.4825
Chlorocebus pygerythrus	1.1506157247225	14.0521509282492	0.34375	36	13	0.744186046511628	0.255813953488372	4533.4825
Chlorocebus sabaeus	0.80290368688026	1.0895917584123	0.2	11	2	0.833333333333333	0.166666666666667	4533.4825
Chlorocebus tantalus	1.17420515393295	4.66654085272257	0.256578947368421	20.5	5	0.795833333333333	0.204166666666667	4533.4825
Colobus angolensis	0.911613569447055	2.0489962544954	0.333333333333333	9	3	0.75	0.25	3864.89375
Colobus guereza	0.908373963156458	3.14991443514551	0.6	4	3	0.6	0.4	4509.575
Cricetus cricetus	0.929538439877942	0.84860120197888	0.0714285714285714	9	1	0.933333333333333	0.0666666666666667	467.0175
Crocidura beatus	0.961748887965893	2.90414016234967	0.125	33	3	0.888888888888889	0.111111111111111	427.67965
Crocidura dsinezumi	1.13851758879694	2.45224874150147	0.0810810810810811	11	2	0.925	0.075	427.67965
Crocidura grayi	1.09661927195156	2.44629244248813	0.136363636363636	24	3	0.88	0.12	427.67965
Crocidura monticola	1.04132216333859	6.87427141831291	0.206896551724138	32	5	0.828571428571429	0.171428571428571	409.171225
Crocidura olivieri	0.42430060098944	0.42430060098944	0.0434782608695652	23	1	0.958333333333333	0.0416666666666667	427.67965
Crocidura palawanensis	1.37080831571649	1.59769124050925	0.0488095238095238	3	1	0.952380952380952	0.0476190476190476	409.171225
Crocidura paradoxura	0.42430060098944	0.42430060098944	0.0196078431372549	51	1	0.980769230769231	0.0192307692307692	409.171225
Crocidura russula	0.667957085218247	0.42430060098944	0.0344827586206897	4	1	0.96638418079096	0.0336158192090395	448.652
Crocidura shantungensis	1.10810383477228	2.28785078184746	0.157894736842105	13	2	0.863636363636364	0.136363636363636	409.171225
Crocidura sibirica	0.45354878458662	0	0	8	0	1	0	427.67965
Crocidura tanakae	1.27023737939017	2.86792861989942	0.25	7	2	0.8	0.2	427.67965
Cryptomys hottentotus	0.977009283336396	9.73673569245654	0.20253164556962	78	10	0.831578947368421	0.168421052631579	1606.95955
Ctenomys pearsoni	1.24323188931289	3.16591723242242	0.363636363636364	12	3	0.733333333333333	0.266666666666667	600.93415
Ctenomys rionegrensis	1.30417985116703	2.46691230083276	0.2	4	1	0.833333333333333	0.166666666666667	600.93415
Ctenomys torquatus	1.13268688471334	2.90579752608809	1	3	3	0.5	0.5	600.93415
Cynomys ludovicianus	1.20854646034043	3.2981855199022	0.5	5	3	0.654761904761905	0.345238095238095	1567.7682
Cynomys mexicanus	1.14392539092373	0.999241445957973	0.5	2	1	0.666666666666667	0.333333333333333	1567.7682
Cynopterus brachyotis	0.45354878458662	0.706286416235526	0.215384615384615	6	1	0.8125	0.1875	1287.664
Cynopterus sphinx	0.588723690146424	1.76617107043927	0.12	23	3	0.892857142857143	0.107142857142857	1285.2527
Dasypus novemcinctus	0.787091145463253	1.0895917584123	0.2	5	1	0.833333333333333	0.166666666666667	1825
Delphinus delphis	0.42430060098944	0	0	7	0	1	0	3545.59095
Deltamys kempi	0.42430060098944	1.13058701722497	0.235294117647059	15	3	0.80952380952381	0.19047619047619	589.388299099621
Desmodus rotundus	0.998029363506963	15.9118870853476	0.52	48	17	0.657894736842105	0.342105263157895	2779.7975
Dryomys nitedula	0.814054535116401	4.88432721069841	0.0659340659340659	88	6	0.938144329896907	0.0618556701030928	879.124225
Eidolon dupreanum	1.14392539092373	1.14392539092373	0.181818181818182	8	1	0.846153846153846	0.153846153846154	2190
Eidolon helvum	1.14392539092373	0	0	6	0	1	0	1825
Elephas maximus	0.7146427359458	0.860513800005554	0.25	9	2	0.8	0.2	8030
Eothenomys chinensis	0.739121472690083	4.30841684767406	0.0652173913043478	89	6	0.938775510204082	0.0612244897959184	589.388299099621
Eothenomys custos	0.42430060098944	1.20339034781423	0.0625	127	2	0.941176470588235	0.0588235294117647	589.388299099621
Eothenomys melanogaster	0.784112995956585	1.99252659290261	0.0909090909090909	34	3	0.914285714285714	0.0857142857142857	589.388299099621
Eothenomys miletus	0.429351937247385	1.27290180296832	0.0882352941176471	30	3	0.918918918918919	0.0810810810810811	589.388299099621
Eozapus setchuanus	0.679760498317	2.84708409389483	0.0816326530612245	98	5	0.924528301886792	0.0754716981132075	726.1971375
Epomophorus gambianus	0.42430060098944	0	0	8	0	1	0	2349.856740625
Epomops buettikoferi	1.14392539092373	1.14392539092373	0.25	4	1	0.8	0.2	2349.856740625
Epomops franqueti	1.59769124050925	2.54909548137183	0.125	8	1	0.888888888888889	0.111111111111111	2349.856740625
Eschrichtius robustus	0.952806466965942	0.911613569447055	0.5	2	1	0.666666666666667	0.333333333333333	10444.3345
Euchoreutes naso	1.01099592074935	0	0	9	0	1	0	726.1971375
Eulemur rubriventer	1.11742543267117	2.18185094883723	0.222527472527473	12	2	0.8125	0.1875	2920
Eulemur rufus	0.799771905059647	2.25348403889689	0.21395881006865	11	3	0.821428571428571	0.178571428571429	3206.29594444444
Eumetopias jubatus	1.27488825149227	1.95438946988567	0.5	2	1	0.633333333333333	0.366666666666667	3650
Felis silvestris	0.944741019881151	0.911613569447055	0.150375939849624	14	1	0.863636363636364	0.136363636363636	2905.4
Galea musteloides	1.05346097304172	2.18928177949051	0.126760563380282	34.5	3.5	0.8875	0.1125	389.8012
Galemys pyrenaicus	0.776271188759852	0.87937693851954	0.222222222222222	7	2	0.818181818181818	0.181818181818182	730
