Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Apodemus_agrarius	58	58	0.2	3	1	0.833333333333333	0.166666666666667
Avahi_laniger	51.075	84	0.5	5	2	0.666666666666667	0.333333333333333
Balaenoptera_physalus	21	0	0	4	0	1	0
Bos_taurus	53.5	0	0	2	0	1	0
Branchiostoma_floridae	21	0	0	3	0	1	0
Capra_hircus	21	0	0	2	0	1	0
Carassius_auratus	NA	0	0	11	0	1	0
Cercopithecus_albogularis	54	176	0.357142857142857	7	3	0.727272727272727	0.272727272727273
Chamaeleo_chamaeleon	91.5	113	0.2	7	1	0.833333333333333	0.166666666666667
Cheirogaleus_medius	83.8	398	0.142857142857143	29	4	0.875	0.125
Clupea_harengus	NA	0	0	2	0	1	0
Colobus_guereza	46	144	0.866071428571429	3	3	0.5	0.5
Cyprinus_carpio	NA	0	0	5	0	1	0
Eopsaltria_australis	47.5	132	0.166666666666667	17	3	0.857142857142857	0.142857142857143
Equus_caballus	21	21	0.5	2	1	0.666666666666667	0.333333333333333
Gallus_gallus	58	87	1	1	1.5	0.5	0.5
Macaca_fascicularis	54.9166666666667	156	0.428571428571429	6	2	0.7	0.3
Mammuthus_primigenius	NA	0	0	3	0	1	0
Martes_zibellina	74	0	0	2	0	1	0
Mus_musculus	58	58	0.204166666666667	6	1	0.827586206896552	0.172413793103448
Myodes_glareolus	51	21	0.133928571428571	6	1	0.875	0.125
Nannoperca_australis	58	58	0.25	3	1	0.8	0.2
Odocoileus_virginianus	69.5	0	0	7	0	1	0
Orcinus_orca	NA	0	0	2	0	1	0
Oryzias_latipes	21	42	0.0769230769230769	29	2	0.928571428571429	0.0714285714285714
Ovis_aries	81	0	0	3	0	1	0
Pan_troglodytes	46	21	0.133928571428571	5	1	0.875	0.125
Peromyscus_furvus	71	77	0.2	8	1	0.833333333333333	0.166666666666667
Peromyscus_maniculatus	74	74	0.285714285714286	6	1	0.777777777777778	0.222222222222222
Peromyscus_melanophrys	46	0	0	11	0	1	0
Phoca_groenlandica	83	0	0	2	0	1	0
Prionailurus_bengalensis	33.5	67	0.176470588235294	15	2	0.842105263157895	0.157894736842105
Rhinichthys_osculus	21	21	0.0526315789473684	18	1	0.95	0.05
Salamandrella_keyserlingii	18	0	0	3	0	1	0
Stenella_attenuata	21	0	0	7	0	1	0
Sus_scrofa	45.25	79	0.44949494949495	4	2	0.6875	0.3125
Tursiops_truncatus	39.5	0	0	2	0	1	0
Urocyon_cinereoargenteus	NA	0	0	2	0	1	0
Ursus_arctos	21	21	0.0384615384615385	3	1	0.928571428571429	0.0714285714285714
Ursus_spelaeus	108.333333333333	143	0.25	4	1	0.8	0.2
