Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Abbottina_rivularis	0.845884359436522	5.68306473317119	0.21551724137931	24	5	0.822695035460993	0.177304964539007
Abramis_brama	0.626634662303323	0.626634662303323	0.0714285714285714	4.5	1	0.933333333333333	0.0666666666666667
Abrothrix_longipilis	0.962044740379417	14.8185977501455	0.171428571428571	95	15	0.853658536585366	0.146341463414634
Abrothrix_olivaceus	0.452535431785834	0.430256900002777	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333
Abudefduf_sparoides	NA	0	0	2	0	1	0
Acanthocybium_solandri	0.42430060098944	0	0	7	0	1	0
Acanthopagrus_berda	0.950698798810039	6.10153702256992	0.121495327102804	46	4	0.890756302521008	0.109243697478992
Acanthorhodeus_chankaensis	0.45354878458662	1.01597300170391	0.0363636363636364	54	2	0.964912280701754	0.0350877192982456
Acanthosaura_lepidogaster	1.12241836983236	22.4107611565913	0.276088929219601	76	20	0.783505154639175	0.216494845360825
Acanthurus_nigricans	0.42430060098944	0.42430060098944	0.333333333333333	2	1	0.666666666666667	0.333333333333333
Acanthurus_triostegus	1.14392539092373	1.14392539092373	0.0416666666666667	7	1	0.96	0.04
Acentrogobius_janthinopterus	0.42430060098944	0.84860120197888	0.181818181818182	9	2	0.846153846153846	0.153846153846154
Acheilognathus_macropterus	0.796722331444863	3.98505318580522	0.107539315448659	45	6	0.90290346907994	0.0970965309200603
Acheilognathus_rhombeus	0.899830329333577	0.42430060098944	0.03125	30.5	1	0.96969696969697	0.0303030303030303
Acheilognathus_tabira	0.521763194680963	1.7660630178874	0.0614955568160333	85.5	4	0.942067287524121	0.0579327124758788
Acipenser_gueldenstaedtii	0.756379762065978	1.69720240395776	0.333333333333333	8	3	0.75	0.25
Acipenser_schrenckii	0.540441719847618	2.1215030049472	0.148170731707317	13	4	0.869565217391304	0.130434782608696
Acipenser_stellatus	1.54156579235571	2.65883098372198	0.142857142857143	4	1	0.854166666666667	0.145833333333333
Acomys_cahirinus	1.20029645058398	7.46746005590439	0.160645161290323	75	11	0.845	0.155
Acomys_dimidiatus	0.601881752035456	0.42430060098944	0.0833333333333333	16	1	0.923076923076923	0.0769230769230769
Acritillas_indica	0.820304875538933	0.854557500992217	0.480769230769231	4	2	0.666666666666667	0.333333333333333
Acrocephalus_brevipennis	1.27023737939017	0.568168724940048	0.166666666666667	2	1	0.75	0.25
Acrossocheilus_yunnanensis	0.665688152667821	1.76021477142594	0.108116883116883	27	3	0.902432575356954	0.097567424643046
Adelomyia_melanogenys	0.697968126512257	1.7031587029711	0.0752358490566038	50	3	0.930028559771522	0.0699714402284782
