Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Apodemus_agrarius	81	0	0	4	0	1	0
Arctocephalus_forsteri	54.3333333333333	56	0.0476190476190476	29	1	0.954545454545455	0.0454545454545455
Balaenoptera_physalus	21	0	0	5	0	1	0
Bison_priscus	NA	0	0	5	0	1	0
Bos_grunniens	NA	0	0	2	0	1	0
Bos_taurus	21	0	0	4	0	1	0
Branchiostoma_floridae	46	21	0.0384615384615385	26	1	0.962962962962963	0.037037037037037
Branchiostoma_lanceolatum	74	0	0	14	0	1	0
Bubalus_bubalis	41	0	0	6	0	1	0
Calotes_versicolor	19	21	0.0833333333333333	23	1	0.923076923076923	0.0769230769230769
Canis_lupus	21	21	0.125	6	1	0.888888888888889	0.111111111111111
Canis_lupus_familiaris	21	0	0	4	0	1	0
Capra_hircus	21	21	0.172413793103448	4	1	0.852941176470588	0.147058823529412
Carassius_auratus	40.5	162	0.0595322466335932	53	2	0.943181818181818	0.0568181818181818
Carassius_gibelio	39.5	58	0.166666666666667	12	1	0.823529411764706	0.176470588235294
Catopuma_temminckii	NA	0	0	5	0	1	0
Cercopithecus_albogularis	39.5	123	0.0735294117647059	32	4	0.931506849315068	0.0684931506849315
Chaenogobius_annularis	21	0	0	62	0	1	0
Chamaeleo_chamaeleon	43	160	0.108108108108108	37	3	0.902439024390244	0.0975609756097561
Clupea_harengus	21	42	0.285714285714286	5	2	0.777777777777778	0.222222222222222
Coreoleuciscus_splendidus	32	0	0	9	0	1	0
Corvus_corax	21	42	0.0833333333333333	5	2	0.923076923076923	0.0769230769230769
Cyprinus_carpio	35.45	94	0.0552147239263804	7	1	0.947674418604651	0.0523255813953488
Ectopistes_migratorius	21	0	0	3	0	1	0
Eopsaltria_australis	27.8888888888889	209	0.111111111111111	71	7	0.9	0.1
Eospalax_baileyi	38.5	56	0.0192307692307692	50	1	0.981132075471698	0.0188679245283019
Eothenomys_custos	21	189	0.0633802816901408	142	9	0.940397350993378	0.0596026490066225
Eothenomys_melanogaster	33.3333333333333	100	0.09375	31	3	0.91304347826087	0.0869565217391304
Eothenomys_miletus	21	42	0.0769230769230769	23	2	0.928571428571429	0.0714285714285714
Epinephelus_fuscoguttatus	81	119	0.142857142857143	7	2	0.875	0.125
Epinephelus_lanceolatus	43.0769230769231	305	0.0858895705521472	117	8	0.92090395480226	0.0790960451977401
Equus_caballus	60	0	0	6	0	1	0
Gadus_morhua	21	0	0	3	0	1	0
Gallus_gallus	22	42	0.333333333333333	3	2	0.75	0.25
Heteronotia_binoei	38.7333333333333	235	0.0892857142857143	53	5	0.913793103448276	0.0862068965517241
Leopoldamys_edwardsi	21	57	0.0434782608695652	45	2	0.958333333333333	0.0416666666666667
Lepus_europaeus	19.5	0	0	10	0	1	0
Lynx_pardinus	NA	0	0	1	0	1	0
Macaca_fascicularis	50.1666666666667	257	0.125	45	4	0.888888888888889	0.111111111111111
Mammuthus_primigenius	21	21	0.0666666666666667	12	1	0.9375	0.0625
Mammuthus_sp	21	0	0	8.5	0	1	0
Martes_zibellina	21	0	0	10	0	1	0
Mastomys_sp	77.75	58	0.25	5	1	0.8	0.2
Mesoplodon_densirostris	51	0	0	16	0	1	0
Misgurnus_anguillicaudatus	22	21	0.0384615384615385	22	1	0.962962962962963	0.037037037037037
Muntiacus_sp	21.5	0	0	29	0	1	0
Mus_musculus	21	42	0.0869747899159664	33	2	0.918918918918919	0.0810810810810811
Mus_musculus_musculus	39.5	0	0	6	0	1	0
Myodes_glareolus	21	21	0.037037037037037	23	1	0.964285714285714	0.0357142857142857
Odocoileus_virginianus	33.3333333333333	0	0	20	0	1	0
Oncorhynchus_nerka	21	21	0.0909090909090909	3	1	0.916666666666667	0.0833333333333333
Orcinus_orca	NA	0	0	4	0	1	0
Oryzias_latipes	37.3333333333333	455	0.0798920157068063	154	13	0.92485549132948	0.0751445086705202
Ovis_aries	21	21	0.0769230769230769	7	1	0.928571428571429	0.0714285714285714
Pan_paniscus	33.3333333333333	79	0.222222222222222	13	2	0.818181818181818	0.181818181818182
Pan_troglodytes	52.6666666666667	56	0.125	9	1	0.888888888888889	0.111111111111111
Panthera_tigris	55.1875	162	0.333333333333333	6	1	0.75	0.25
Percina_uranidea	104	0	0	6	0	1	0
Phoca_groenlandica	21	0	0	5	0	1	0
Physeter_catodon	NA	0	0	3	0	1	0
Plecotus_macrobullaris	32	151	0.141428571428571	44	6	0.875	0.125
Poropuntius_bolovenensis	56	56	0.333333333333333	3	1	0.75	0.25
Prionailurus_bengalensis	21	21	0.0357142857142857	14	1	0.96551724137931	0.0344827586206897
Procyon_lotor	39.5	0	0	13	0	1	0
Protobothrops_flavoviridis	33.4642857142857	148	0.104477611940299	15	4	0.904109589041096	0.0958904109589041
Rattus_rattus	85	201	0.5	5	3	0.625	0.375
Rodentia_sp	50.5555555555556	623	0.0899470899470899	188	16	0.917073170731707	0.0829268292682927
Salamandrella_keyserlingii	21	42	0.111111111111111	12	2	0.9	0.1
Schismatogobius_ampluvinculus	21	21	0.125	5	1	0.888888888888889	0.111111111111111
Sphenodon_punctatus	34.5	0	0	12.5	0	1	0
