Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Acanthurus_nigricans	21	21	0.333333333333333	2	1	0.666666666666667	0.333333333333333
Acanthurus_triostegus	58	58	0.0416666666666667	7	1	0.96	0.04
Adelomyia_melanogenys	45.5	214	0.137931034482759	35	5	0.878787878787879	0.121212121212121
Agkistrodon_contortrix	71.75	241	0.571428571428571	4	3	0.615384615384615	0.384615384615385
Agkistrodon_piscivorus	46	81	0.218253968253968	6	2	0.818181818181818	0.181818181818182
Alophoixus_pallidus	27.25	21	0.333333333333333	4	1	0.75	0.25
Alticus_arnoldorum	64	64	0.666666666666667	2	1	0.5	0.5
Amazona_ochrocephala	55.3333333333333	105	0.2	10	2	0.833333333333333	0.166666666666667
Andinoacara_coeruleopunctatus	22.5	24	0.0697115384615385	20	1	0.928571428571429	0.0714285714285714
Anguilla_anguilla	51	21	0.227272727272727	5.5	1	0.811253561253561	0.188746438746439
Anguilla_rostrata	57	21	0.166666666666667	7	1	0.857142857142857	0.142857142857143
Apodemus_agrarius	31.5	21	0.2	4	1	0.833333333333333	0.166666666666667
Apteryx_australis	47	103	0.25	11	2	0.8	0.2
Arapaima_gigas	49	21	0.25	3.5	1	0.8	0.2
Arctocephalus_forsteri	36.5	23	0.0555555555555556	14	1	0.947368421052632	0.0526315789473684
Balaenoptera_physalus	57.6666666666667	64	0.5	2	1	0.583333333333333	0.416666666666667
Barisia_imbricata	40.7	334	0.220867208672087	42	9	0.818181818181818	0.181818181818182
Bison_bonasus	21	21	0.1	10	1	0.909090909090909	0.0909090909090909
Bison_priscus	58	21	0.25	3	1	0.763888888888889	0.236111111111111
Bos_grunniens	48.5	95	0.428571428571429	4	2	0.666666666666667	0.333333333333333
Bos_taurus	46	60	0.5	2	1	0.6	0.4
Brachyhypopomus_occidentalis	42.4285714285714	310	0.191489361702128	44	7	0.839285714285714	0.160714285714286
Brachymeles_bonitae	41.8888888888889	360	0.163785394932936	56	9	0.859154929577465	0.140845070422535
Brachymeles_boulengeri	24.7142857142857	130	0.104477611940299	67	6	0.905405405405405	0.0945945945945946
Brachymeles_schadenbergi	51.4444444444444	143.5	0.219512195121951	13	3	0.82	0.18
Branchiostoma_belcheri	32	64	0.272727272727273	7	2	0.785714285714286	0.214285714285714
Branchiostoma_floridae	37.1666666666667	112	0.272727272727273	11	3	0.785714285714286	0.214285714285714
Bubalus_bubalis	21	42	0.25	5	2	0.785714285714286	0.214285714285714
Callisaurus_draconoides	41.3333333333333	195	0.173913043478261	34	6	0.851851851851852	0.148148148148148
Campethera_caroli	58	58	0.117647058823529	2	1	0.894736842105263	0.105263157894737
Campethera_nivosa	33.6666666666667	0	0	4	0	1	0
Canis_latrans	53	0	0	3	0	1	0
Canis_lupus	81	0	0	5	0	1	0
Canis_lupus_familiaris	81	0	0	3	0	1	0
Capra_hircus	49.3333333333333	81	0.666666666666667	2.5	2	0.6	0.4
Cathorops_mapale	81	0	0	2	0	1	0
Cathorops_wayuu	39.5	58	0.75	2	2	0.5	0.5
Catopuma_temminckii	39.5	58	0.5	2	1	0.666666666666667	0.333333333333333
Centromochlus_existimatus	42.5263157894737	704	0.34	51	17	0.742857142857143	0.257142857142857
Cercococcyx_montanus	34.75	101	0.666666666666667	3	3	0.585714285714286	0.414285714285714
Cercopithecus_albogularis	63.5	416	0.52	15	7	0.657894736842105	0.342105263157895
Chamaeleo_chamaeleon	63.0333333333333	278	0.44949494949495	11	4	0.684210526315789	0.315789473684211
Channa_marulius	33.5	92	0.8	3	3	0.5	0.5
Channa_striata	49.1818181818182	131	0.348884381338742	4	2	0.739130434782609	0.260869565217391
Cichla_monoculus	39.5	98	0.173913043478261	6	2	0.851851851851852	0.148148148148148
Cichla_orinocensis	38.8	98	0.138888888888889	7	1	0.878048780487805	0.121951219512195
Cichla_pinima	32.6428571428572	121	0.196153846153846	24	4	0.833333333333333	0.166666666666667
Cirrhinus_mrigala	64.1818181818182	0	0	4	0	1	0
Cirrhitichthys_oxycephalus	101	0	0	8	0	1	0
Clupea_harengus	96	0	0	4	0	1	0
Coilia_dussumieri	32	32	0.45	3	1	0.666666666666667	0.333333333333333
Colomesus_asellus	71.5714285714286	109	0.5	4	2	0.666666666666667	0.333333333333333
Columbina_passerina	29	21	0.166666666666667	2.5	1	0.845238095238095	0.154761904761905
Cottus_asperrimus	21	21	0.242857142857143	5	1	0.777777777777778	0.222222222222222
Cottus_carolinae	30.75	22	0.0833333333333333	12	1	0.923076923076923	0.0769230769230769
Crotalus_aquilus	51.5	254	0.4	15	6	0.714285714285714	0.285714285714286
Crotalus_cerberus	55.2	218	0.235294117647059	14	4	0.80952380952381	0.19047619047619
Crotalus_lepidus	59.1794871794872	553	0.304953560371517	33.5	9.5	0.766363636363636	0.233636363636364
Crotalus_pricei	49.75	199	0.222222222222222	24	4	0.818181818181818	0.181818181818182
Crotalus_ravus	47.8333333333333	208	0.363636363636364	15	5	0.733333333333333	0.266666666666667
Crotalus_triseriatus	46.049043062201	363.5	0.288018433179724	46	8	0.776388888888889	0.223611111111111
Culaea_inconstans	90.5	0	0	7	0	1	0
Cyprinus_carpio	21.25	64	0.6	4	3	0.625	0.375
Dicrurus_forficatus	21	21	0.1	2	1	0.833333333333333	0.166666666666667
Diodon_holocanthus	74	0	0	7	0	1	0
Doryrhamphus_excisus	21	21	0.027027027027027	34	1	0.973684210526316	0.0263157894736842
Eleutheronema_tetradactylum	58	15	0.333333333333333	2	1	0.666666666666667	0.333333333333333
Equus_caballus	36.5	67	0.25	7	2	0.8	0.2
Forcipiger_flavissimus	21	21	0.35	3.5	1	0.75	0.25
Gadus_morhua	25	0	0	3	0	1	0
Gallus_gallus	68.5	0	0	2	0	1	0
Garrulax_canorus	48.5	21	0.2	4	1	0.833333333333333	0.166666666666667
Henicorhina_leucophrys	42.75	150	0.103962943901184	32	3	0.905405405405405	0.0945945945945946
Henicorhina_leucosticta	51.4	503	0.160714285714286	31	9	0.861538461538462	0.138461538461538
Heteronotia_binoei	57.0217391304348	307	0.314285714285714	36	7	0.757894736842105	0.242105263157895
Hyla_meridionalis	83.5	145	0.333333333333333	3	1	0.75	0.25
Hypostomus_ancistroides	29	50	0.25	9	2	0.8	0.2
Kryptolebias_marmoratus	68.5	81	0.5	2	1	0.666666666666667	0.333333333333333
Kuhlia_rupestris	33.3333333333333	79	0.25	10	2	0.8	0.2
Labeo_calbasu	19.3333333333333	0	0	3	0	1	0
Labeo_gonius	36.5	0	0	3	0	1	0
Labeo_rohita	42.5	21	0.5	2	1	0.666666666666667	0.333333333333333
Lampetra_fluviatilis	60	22	0.25	1	1	0.5	0.5
Lampetra_planeri	105.666666666667	155	0.5	3	1	0.666666666666667	0.333333333333333
Lampetra_sp	58	79	0.166666666666667	8	2	0.857142857142857	0.142857142857143
Lanius_collaris	40.4	202	0.13953488372093	42	5	0.877551020408163	0.122448979591837
Larus_novaehollandiae	58	53	0.111111111111111	4	1	0.894444444444444	0.105555555555556
Lepus_europaeus	79	139	0.17156862745098	7	2	0.85	0.15
Lutjanus_argentimaculatus	33.5833333333333	43	0.333333333333333	3	1	0.75	0.25
Macaca_fascicularis	43.4444444444444	307	0.571428571428571	13	8	0.636363636363636	0.363636363636364
Malurus_leucopterus	15	0	0	2	0	1	0
Mammuthus_primigenius	21	21	0.0454545454545455	21	1	0.956521739130435	0.0434782608695652
Mammuthus_sp	58	0	0	5	0	1	0
Martes_zibellina	81	46	0.166666666666667	4	1	0.857142857142857	0.142857142857143
Melanogrammus_aeglefinus	38.25	32	0.0360623781676413	7	1	0.920634920634921	0.0793650793650794
Melanotaenia_goldiei	39.75	64	0.166666666666667	14	2	0.857142857142857	0.142857142857143
Melanotaenia_splendida	46	46	0.25	2	1	0.775	0.225
Merlangius_merlangus	64	64	0.0526315789473684	12	1	0.95	0.05
Mesoplodon_densirostris	57.625	69	0.153846153846154	13	1	0.866666666666667	0.133333333333333
Mogurnda_adspersa	21.3333333333333	0	0	7	0	1	0
Mulloidichthys_dentatus	22	0	0	4	0	1	0
Mulloidichthys_flavolineatus	21	0	0	5	0	1	0
Mulloidichthys_martinicus	37	21	0.333333333333333	2	1	0.75	0.25
Mulloidichthys_vanicolensis	170	0	0	4	0	1	0
Muntiacus_sp	39.6666666666667	79	0.23015873015873	15	2	0.812937062937063	0.187062937062937
Mus_musculus	48	74	0.153846153846154	12	1	0.866666666666667	0.133333333333333
Mus_musculus_musculus	46.625	38	0.111111111111111	3	1	0.809090909090909	0.190909090909091
Myiarchus_swainsoni	72.5	0	0	3	0	1	0
Myodes_glareolus	21	0	0	10	0	1	0
Myripristis_berndti	NA	0	0	6	0	1	0
Nannoperca_australis	51.6	258	0.6	5	5	0.625	0.375
Nannospalax_judaei	69.5	139	0.25	10	2	0.792857142857143	0.207142857142857
Neolissochilus_hexagonolepis	33.3333333333333	121	0.0819444444444444	40	3	0.913729128014842	0.0862708719851577
Notopterus_notopterus	42.5	58	0.5	2	1	0.666666666666667	0.333333333333333
Odocoileus_virginianus	52	233	0.277777777777778	16	4	0.782608695652174	0.217391304347826
Opsariichthys_hainanensis	21	21	0.133333333333333	10	1	0.882352941176471	0.117647058823529
Orcinus_orca	56	135	1	2	2	0.4	0.6
Oryzias_latipes	31.5	173	0.108433734939759	55	5	0.902173913043478	0.0978260869565217
Osteoglossum_bicirrhosum	58	21	0.25	3	1	0.788888888888889	0.211111111111111
Ovis_aries	58	58	0.333333333333333	3	1	0.666666666666667	0.333333333333333
Oxyeleotris_lineolata	40.5	58	0.666666666666667	2	2	0.6	0.4
Oxyeleotris_selheimi	64	98	0.333333333333333	6	2	0.75	0.25
Pampus_argenteus	45.6	160.5	0.193996415770609	27.5	4	0.83752357008171	0.16247642991829
Pan_paniscus	26	43	0.333333333333333	4	2	0.75	0.25
Pan_troglodytes	51	137	0.333333333333333	11	3	0.75	0.25
Pangasius_pangasius	46	56	1	1	1	0.5	0.5
Panthera_tigris	46.65	0	0	5	0	1	0
Phoca_groenlandica	53	46	0.333333333333333	2	1	0.75	0.25
