Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Abbottina_rivularis	42.88	289	0.21551724137931	24	5	0.822695035460993	0.177304964539007
Abramis_brama	32	32	0.0714285714285714	4.5	1	0.933333333333333	0.0666666666666667
Abrothrix_longipilis	48.6642156862745	750	0.171428571428571	95	15	0.853658536585366	0.146341463414634
Abrothrix_olivaceus	23	22	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333
Abudefduf_sparoides	NA	0	0	2	0	1	0
Acanthocybium_solandri	21	0	0	7	0	1	0
Acanthopagrus_berda	48.2	309	0.121495327102804	46	4	0.890756302521008	0.109243697478992
Acanthorhodeus_chankaensis	23	51	0.0363636363636364	54	2	0.964912280701754	0.0350877192982456
Acanthosaura_lepidogaster	56.9545454545455	1137	0.276088929219601	76	20	0.783505154639175	0.216494845360825
Acanthurus_nigricans	21	21	0.333333333333333	2	1	0.666666666666667	0.333333333333333
Acanthurus_triostegus	58	58	0.0416666666666667	7	1	0.96	0.04
Acentrogobius_janthinopterus	21	42	0.181818181818182	9	2	0.846153846153846	0.153846153846154
Acheilognathus_macropterus	40	200	0.107539315448659	45	6	0.90290346907994	0.0970965309200603
Acheilognathus_rhombeus	45.3333333333333	21	0.03125	30.5	1	0.96969696969697	0.0303030303030303
Acheilognathus_tabira	26	88.5	0.0614955568160333	85.5	4	0.942067287524121	0.0579327124758788
Acipenser_gueldenstaedtii	38.3571428571428	84	0.333333333333333	8	3	0.75	0.25
Acipenser_schrenckii	26.8333333333333	105	0.148170731707317	13	4	0.869565217391304	0.130434782608696
Acipenser_stellatus	78	135	0.142857142857143	4	1	0.854166666666667	0.145833333333333
Acomys_cahirinus	60.8125	377	0.160645161290323	75	11	0.845	0.155
Acomys_dimidiatus	30.5	21	0.0833333333333333	16	1	0.923076923076923	0.0769230769230769
Acritillas_indica	41.1666666666667	43	0.480769230769231	4	2	0.666666666666667	0.333333333333333
Acrocephalus_brevipennis	64	29	0.166666666666667	2	1	0.75	0.25
Acrossocheilus_yunnanensis	33.4	88	0.108116883116883	27	3	0.902432575356954	0.097567424643046
