"Gene" "Species" "DnDs"
"1" "CytB" "Abbottina_obtusirostris" 0.00529860665350905
"6" "CytB" "Abbottina_rivularis" 0.0396572212508943
"12" "CytB" "Abramis_brama" 0.0217155800088141
"13" "CytB" "Abrothrix_longipilis" 0.0693818874865854
"14" "CytB" "Abrothrix_olivaceus" 0.192105340726185
"16" "CytB" "Abudefduf_sparoides" 0.0398185403022068
"19" "CytB" "Acanthocybium_solandri" 0.0155428371384391
"22" "CytB" "Acanthogobius_hasta" 0.00740813993411103
"27" "CytB" "Acanthopagrus_berda" 0.0240391471829245
"28" "CytB" "Acanthopagrus_latus" 0.0230608134593857
"29" "CytB" "Acanthopagrus_schlegelii" 0.0221496193247701
"32" "CytB" "Acanthorhodeus_chankaensis" 0.00632844939792226
"33" "CytB" "Acanthosaura_lepidogaster" 0.0947093797929353
"37" "CytB" "Acentrogobius_janthinopterus" 0.564968369503448
"38" "CytB" "Acheilognathus_barbatus" 0.00776121139653028
"39" "CytB" "Acheilognathus_cyanostigma" 0.0133890140364352
"40" "CytB" "Acheilognathus_macropterus" 0.0131853792282686
"41" "CytB" "Acheilognathus_rhombeus" 0.010653029779664
"42" "CytB" "Acheilognathus_signifer" 0.0145280508642303
"43" "CytB" "Acheilognathus_somjinensis" 0.0134353514269678
"44" "CytB" "Acheilognathus_tabira" 0.0115850392500289
"45" "CytB" "Acheilognathus_typus" 0
"46" "CytB" "Acheilognathus_yamatsutae" 0.00468922520568203
"47" "CytB" "Achondrostoma_oligolepis" 0.0183369356964513
"48" "CytB" "Acipenser_gueldenstaedtii" 0.275799281251209
"57" "CytB" "Acipenser_stellatus" 0.121923790432695
"59" "CytB" "Acomys_cahirinus" 0.0332329938484076
"64" "CytB" "Acomys_dimidiatus" 0.0286098815754307
"65" "CytB" "Acomys_minous" 0.0519549229217513
"68" "CytB" "Acritillas_indica" 0.0443118387579179
"69" "CytB" "Acrocephalus_brevipennis" 0.0545960565525156
"70" "CytB" "Acrocephalus_orientalis" 0.0572180794830559
"72" "CytB" "Acrossocheilus_beijiangensis" 0.0344021320805539
"77" "CytB" "Acrossocheilus_parallens" 0.030112327054288
"84" "CytB" "Acrossocheilus_yunnanensis" 0.0211177395613834
"87" "CytB" "Adelomyia_melanogenys" 0.0264214410907446
"89" "CytB" "Aegithalos_caudatus" 0.0253070809716009
"91" "CytB" "Aegithalos_concinnus" 0.0298224084558676
"95" "CytB" "Aerodramus_fuciphagus" 0.0266403844479317
"96" "CytB" "Aerodramus_maximus" 0.0509426788409753
"99" "CytB" "Agelaius_phoeniceus" 0.0160975622307589
"102" "CytB" "Agkistrodon_contortrix" 0.0653179367944071
"106" "CytB" "Agkistrodon_piscivorus" 0.0703644515837656
"108" "CytB" "Agonostomus_monticola" 0.0383609033220062
"113" "CytB" "Ailuropoda_melanoleuca" 0.0502840279462792
"118" "CytB" "Akodon_montensis" 0.0549190402488672
"119" "CytB" "Akodon_spegazzinii" 0.0402275701325086
"121" "CytB" "Alburnus_alburnus" 0.0157687996099888
"122" "CytB" "Alcelaphus_buselaphus" 0.0398319435048523
"123" "CytB" "Alces_alces" 0.0289817428983137
"124" "CytB" "Alectoris_chukar" 0.0606932968442003
"126" "CytB" "Alectoris_rufa" 0.0399876259297671
"128" "CytB" "Alethe_poliocephala" 0.0471019510048979
"129" "CytB" "Algansea_tincella" 0.00685874088659819
"134" "CytB" "Alosa_fallax" 0.0304073006329623
"139" "CytB" "Alouatta_belzebul" 0.108094755624967
"140" "CytB" "Alouatta_caraya" 0.115724528727984
"141" "CytB" "Alouatta_guariba" 0.135003548883854
"143" "CytB" "Alouatta_seniculus" 0.136850209630773
"144" "CytB" "Alticola_semicanus" 0
"146" "CytB" "Amatitlania_nigrofasciata" 0.0386294906168003
"147" "CytB" "Amazona_farinosa" 0.0761473733415897
"150" "CytB" "Amazona_ochrocephala" 0.0776859663626885
"152" "CytB" "Ambloplites_ariommus" 0.0169195821792582
"153" "CytB" "Ambloplites_rupestris" 0.0149468601766492
"155" "CytB" "Amblyrhynchus_cristatus" 0.057400241895169
"158" "CytB" "Ambystoma_barbouri" 0.0390020067730373
"159" "CytB" "Amolops_mantzorum" 0.0319728759745482
"162" "CytB" "Amphilophus_citrinellus" 0.024370967500684
"164" "CytB" "Amphiprion_akallopisos" 0.0143862687749729
"166" "CytB" "Amphiprion_clarkii" 0.0215260373184305
"167" "CytB" "Amphiprion_frenatus" 0.172770333367712
"169" "CytB" "Amphiprion_ocellaris" 0.021958952875581
"174" "CytB" "Amyda_cartilaginea" 0.0735971993952611
"175" "CytB" "Anabas_testudineus" 0.0915545215270115
"177" "CytB" "Anaecypris_hispanica" 0.0186944129596043
"178" "CytB" "Anarhichas_lupus" 0.0198915639833947
"184" "CytB" "Anas_platyrhynchos" 0.0147802899578853
"195" "CytB" "Andrias_davidianus" 0.0572857370855738
"199" "CytB" "Anguilla_anguilla" 0.00764528068607294
"200" "CytB" "Anguilla_australis_australis" 0.0144717939595821
"201" "CytB" "Anguilla_australis_schmidti" 0.144146579223167
"202" "CytB" "Anguilla_bicolor_bicolor" 0.0116239106330202
"203" "CytB" "Anguilla_bicolor_pacifica" 0.0193211321014467
"204" "CytB" "Anguilla_celebesensis" 0.0244103032365835
"205" "CytB" "Anguilla_japonica" 0.0134271480335223
"206" "CytB" "Anguilla_luzonensis" 0.0117790316403968
"207" "CytB" "Anguilla_malgumora" 0.012414362595361
"208" "CytB" "Anguilla_marmorata" 0.0154840933460861
"209" "CytB" "Anguilla_mossambica" 0.0126441806519582
"210" "CytB" "Anguilla_rostrata" 0.00321403787876901
"214" "CytB" "Anodorhynchus_hyacinthinus" 0.0528616295205612
"222" "CytB" "Anourosorex_squamipes" 0.0450088442292267
"224" "CytB" "Anourosorex_yamashinai" 0.0209488244578934
"230" "CytB" "Anser_cygnoides" 0.107822994917404
"236" "CytB" "Antidorcas_marsupialis" 0.0391540998531817
"237" "CytB" "Antilope_cervicapra" 0.045972170059265
"241" "CytB" "Aotus_azarai" 0.141565494225312
"243" "CytB" "Aotus_lemurinus" 0.065683424541651
"246" "CytB" "Aotus_nancymaae" 0.0438091420980087
"249" "CytB" "Aphanopus_carbo" 0.207168099458311
"255" "CytB" "Apodemus_agrarius" 0.0460416155585987
"262" "CytB" "Apodemus_argenteus" 0.0168729612709769
"263" "CytB" "Apodemus_chejuensis" 0.0990237337152939
"264" "CytB" "Apodemus_chevrieri" 0.0834141093340263
"265" "CytB" "Apodemus_draco" 0.0312699614491071
"266" "CytB" "Apodemus_flavicollis" 0.0775879442632845
"267" "CytB" "Apodemus_ilex" 0.0136667406267312
"268" "CytB" "Apodemus_latronum" 0.162399487812307
"269" "CytB" "Apodemus_peninsulae" 0.0341858537594694
"270" "CytB" "Apodemus_speciosus" 0.0300628416208605
"271" "CytB" "Apodemus_sylvaticus" 0.0198174204918323
"272" "CytB" "Apteronotus_albifrons" 0.0682807548413174
"278" "CytB" "Arachnothera_longirostra" 0.0580001968119501
"282" "CytB" "Arborophila_ardens" 0.0484580309151445
"290" "CytB" "Arctocephalus_forsteri" 0.0867185922300026
"297" "CytB" "Arius_arius" 0.365837529271502
"303" "CytB" "Artibeus_cinereus" 0.0159321599823952
"304" "CytB" "Artibeus_fimbriatus" 0.0151645206441244
"305" "CytB" "Artibeus_glaucus" 0.0166904189032929
"306" "CytB" "Artibeus_intermedius" 0.0157476842114336
"307" "CytB" "Artibeus_jamaicensis" 0.0155020385011507
"308" "CytB" "Artibeus_lituratus" 0.0210685110757336
"309" "CytB" "Artibeus_obscurus" 0.0118722900024936
"310" "CytB" "Artibeus_phaeotis" 0.0171449023353105
"311" "CytB" "Artibeus_planirostris" 0.0338534584819913
"312" "CytB" "Aspidomorphus_lineaticollis" 0.0992823851452777
"314" "CytB" "Astyanax_aeneus" 0.142811270480144
"321" "CytB" "Asymmetron_lucayanum" 0.0347779513011219
"327" "CytB" "Ateles_belzebuth" 0.0566576730637548
"329" "CytB" "Ateles_geoffroyi" 0.0241198882205693
"330" "CytB" "Atherinomorus_endrachtensis" 0.0170843230661213
"337" "CytB" "Auxis_rochei" 0
"344" "CytB" "Auxis_thazard" 0.0139865433731834
"346" "CytB" "Avahi_laniger" 0.0817129875626442
"350" "CytB" "Axis_porcinus" 0.0377668826739932
"351" "CytB" "Bagarius_yarrelli" 0.0350142649882438
"356" "CytB" "Balaena_mysticetus" 0.0674398642678333
"367" "CytB" "Balaenoptera_physalus" 0.0665250691784387
"374" "CytB" "Balistes_capriscus" 0.00915986209067261
"375" "CytB" "Bambusicola_fytchii" 0.0355335347329673
"376" "CytB" "Bambusicola_thoracicus" 0.0242266685539109
"377" "CytB" "Bandicota_indica" 0.0190196707759015
"379" "CytB" "Barbatula_nuda" 0.0107665925703067
"380" "CytB" "Barbatula_toni" 0.0332656842112533
"381" "CytB" "Barbatula_vardarensis" 0.0475749142875225
"382" "CytB" "Barbonymus_schwanenfeldii" 0.0352198432449383
"385" "CytB" "Barbus_balcanicus" 0.030495830682767
"386" "CytB" "Barbus_barbus" 0.00983201227240919
"388" "CytB" "Barbus_carpathicus" 0.0428633163483273
"389" "CytB" "Barbus_cyclolepis" 0.0427656269020622
"391" "CytB" "Barbus_plebejus" 0.0215328048447138
"392" "CytB" "Barbus_rebeli" 0.0353260231419467
"397" "CytB" "Basileuterus_rivularis" 0.0293497958626862
"399" "CytB" "Bathygobius_geminatus" 0.0218646687992948
"400" "CytB" "Bathygobius_soporator" 0
"405" "CytB" "Beaufortia_kweichowensis" 0.0116106028917762
"406" "CytB" "Belonesox_belizanus" 0.0443860467826243
"407" "CytB" "Beryx_splendens" 0.0328272081969812
"413" "CytB" "Bison_bison" 0.191901716903949
"422" "CytB" "Bison_bonasus" 0.0958919620050603
"434" "CytB" "Bison_priscus" 0.102290515370706
"441" "CytB" "Biwia_zezera" 0.0175117061861831
"443" "CytB" "Blarina_brevicauda" 0.0139240804342055
"444" "CytB" "Blarinella_griselda" 0.00824824027707039
"445" "CytB" "Blarinella_quadraticauda" 0.038885166673191
"447" "CytB" "Boa_constrictor" 0.0699782497827041
"449" "CytB" "Boleophthalmus_pectinirostris" 0.0119620621975158
"450" "CytB" "Bolomys_lasiurus" 0.0474658032760109
"452" "CytB" "Bombina_maxima" 0.201326344102283
"453" "CytB" "Bombina_orientalis" 0.0228238488087787
"466" "CytB" "Boops_boops" 0.0250484053346456
"467" "CytB" "Boreogadus_saida" 0.074249911880153
"468" "CytB" "Bos_frontalis" 0.0910310787721376
"469" "CytB" "Bos_gaurus" 0.0572143825596226
"475" "CytB" "Bos_grunniens" 0.0547530476733274
"486" "CytB" "Bos_indicus" 0.163919109747933
"493" "CytB" "Bos_javanicus" 0.107949918612174
"499" "CytB" "Bos_primigenius" 0.57919075741686
"505" "CytB" "Bos_taurus" 0.0569525688353379
"512" "CytB" "Botia_lohachata" 0.0438524634133663
"515" "CytB" "Brachyhypopomus_occidentalis" 0.0376111997509652
"525" "CytB" "Brachymystax_lenok" 0.0234752372302051
"527" "CytB" "Brachyphylla_cavernarum" 0.0365746592473589
"528" "CytB" "Brachyrhaphis_rhabdophora" 0.039731714533012
"530" "CytB" "Brama_brama" 0.0376239285783747
"534" "CytB" "Branchiostoma_belcheri" 0.0303370740434227
"541" "CytB" "Branchiostoma_floridae" 0.0697029370631773
"551" "CytB" "Branchiostoma_lanceolatum" 0.0293611654084794
"555" "CytB" "Brienomyrus_sp" 0.0549686309167788
"558" "CytB" "Brotogeris_cyanoptera" 0.0717838137092359
"564" "CytB" "Bubalus_bubalis" 0.0479316429721529
"571" "CytB" "Bubalus_depressicornis" 0.0992982758568326
"573" "CytB" "Budorcas_taxicolor" 0.115367472679339
"576" "CytB" "Bungarus_candidus" 0
"577" "CytB" "Bungarus_fasciatus" 0.0742655460792198
"578" "CytB" "Bungarus_multicinctus" 0.0185737302169161
"579" "CytB" "Cacajao_calvus" 0.141790017741935
"580" "CytB" "Caiman_crocodilus" 0.244481206167449
"582" "CytB" "Calliope_calliope" 0.0313801756222376
"584" "CytB" "Callithrix_geoffroyi" 0.0360036803658287
"586" "CytB" "Callithrix_jacchus" 0.0262798077543764
"588" "CytB" "Callosciurus_erythraeus" 0.0381040554521348
"591" "CytB" "Calomys_callosus" 0.0377952124684139
"592" "CytB" "Calomys_expulsus" 0.0350336308017695
"597" "CytB" "Camelus_bactrianus" 0.0554351435202588
"605" "CytB" "Camelus_dromedarius" 0.0450532123731196
"614" "CytB" "Campostoma_anomalum" 0.00890973943810723
"615" "CytB" "Campostoma_oligolepis" 0.00843515847763105
"616" "CytB" "Campostoma_ornatum" 0.0112728302677427
"617" "CytB" "Campylomormyrus_compressirostris" 0.382807384109212
"618" "CytB" "Campylomormyrus_numenius" 0.0319539232330477
"619" "CytB" "Candidia_barbatus" 0.0212387462524138
"621" "CytB" "Canis_aureus" 0.0584376748238275
"625" "CytB" "Canis_latrans" 0.0600052442089845
"636" "CytB" "Canis_lupus_familiaris" 0
"648" "CytB" "Canis_lupus" 0
"655" "CytB" "Capoeta_damascina" 0.0215766606885943
"660" "CytB" "Capra_aegagrus" 0.06967151122803
"667" "CytB" "Capra_caucasica" 0.0644239575380728
"668" "CytB" "Capra_cylindricornis" 0.0678760959516529
"669" "CytB" "Capra_falconeri" 0.0374563586760013
"675" "CytB" "Capra_hircus" 0.0670231873872136
"682" "CytB" "Capra_sibirica" 0.111963735242333
"688" "CytB" "Capreolus_capreolus" 0.0249070808242437
"698" "CytB" "Capreolus_pygargus" 0.0182339629820195
"705" "CytB" "Capricornis_milneedwardsii" 0.146039581413205
"706" "CytB" "Carasobarbus_fritschii" 0.0401936061981631
"708" "CytB" "Carasobarbus_luteus" 0.046650096605786
"712" "CytB" "Carassius_auratus_auratus" 0.0416893278624573
"722" "CytB" "Carassius_auratus" 0.024312923860333
"736" "CytB" "Carassius_cuvieri" 0.0226954284837061
"746" "CytB" "Carassius_gibelio" 0.0184854585808536
"759" "CytB" "Carcharodon_carcharias" 0.0549684777684021
"761" "CytB" "Cardinalis_cardinalis" 0.0456654193232404
"767" "CytB" "Caretta_caretta" 0.0656826262224471
"772" "CytB" "Carollia_brevicauda" 0.030091094696615
"773" "CytB" "Carollia_castanea" 0.0299906452785737
"774" "CytB" "Carollia_perspicillata" 0.0325897989478031
"775" "CytB" "Carollia_sowelli" 0.0390383860034458
"776" "CytB" "Carpiodes_carpio" 0.0644527675499617
"777" "CytB" "Carpiodes_cyprinus" 0.01084534672476
"778" "CytB" "Carpodacus_erythrinus" 0.153377920282424
"784" "CytB" "Catharus_guttatus" 0.0521925103468867
"785" "CytB" "Catharus_minimus" 0.0553061220728408
"786" "CytB" "Catharus_ustulatus" 0.0369209989392766
"788" "CytB" "Cathorops_mapale" 0.0381842846665572
"790" "CytB" "Cathorops_wayuu" 0.0576506891503124
"795" "CytB" "Catla_catla" 0.0164326572044134
"808" "CytB" "Catopuma_temminckii" 0.0410741600830868
